Master ID,Category,Input Name,Consolidated Description,Why It Matters,Primary Sections,Representative Frameworks,Likely Public Sources,Example Search Angles,Priority,Merged From
19,SAM / SOM / Reachability,Dominant route-to-market types in the category,"The main commercial routes used in the market such as direct sales, channel partners, marketplaces, OEM, or resale.",Needed to translate TAM into serviceable opportunity using real market access paths.,S1-B (Q5); S3-B (Q18),"S1-B2, S3-B5, S3-B6","Vendor partner pages, marketplace listings, industry channel reports","""[Competitor Name] sales strategy"", ""how [Competitor Name] sells""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
20,SAM / SOM / Reachability,Channel share and segment coverage by route,"How much of the market each route serves, and which customer segments each route reaches best.",Supports route-to-market coverage logic and segment reachability.,S1-B (Q5); S3-B (Q18),"S1-B2, S3-B5, S3-B8","Channel studies, analyst reports, distributor data, marketplace ecosystems","""[Industry] channel mix"", ""[Industry] route to market by segment""",High,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
21,SAM / SOM / Reachability,Marketplace or platform access requirements,"Public requirements for listing, integration, certification, or participation on key platforms and marketplaces.",Determines whether a market is practically reachable through important routes.,S1-B (Q5); S5-A (Q26); S6-B (Q30),"S1-B2, S5-A3, S6-B1","Platform docs, partner programs, marketplace rules, developer docs","""[Platform] marketplace requirements"", ""[Product] partner certification""",High,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
22,SAM / SOM / Reachability,Jurisdiction-specific licensing or compliance requirements,"Publicly documented legal, certification, or compliance requirements that gate access to target geographies or segments.",A core filter between theoretical demand and serviceable demand.,S1-B (Q5); S5-A (Q26-Q27); S6-A (Q28),"S1-B1, S1-B4, S5-A1, S6-A2","Regulators, licensing boards, standards bodies, compliance guides","""licenses required for [Industry]"", ""regulatory barriers [Industry]""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
23,SAM / SOM / Reachability,Time and cost to satisfy access requirements,"Typical duration, fees, audits, or approval effort needed to meet access requirements.",Helps size realistic SAM timing and evaluate near-term obtainability.,S1-B (Q5-Q6); S6-A (Q28),"S1-B4, S1-B5, S6-A2","Regulator guidance, legal memos, industry consultants, vendor case studies","""time to get [industry] certification"", ""[industry] compliance cost timeline""",High,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
24,SAM / SOM / Reachability,Reachable ICP counts by subsegment,Public counts of organizations or buyers matching the relevant firmographic and use-case profile.,Bridges broad TAM to a more concrete reachable market base.,S1-B (Q5); S1-C (Q8-Q9),"S1-B3, S1-C2, S1-C6","Industry directories, public company databases, trade associations","""[ICP] company count [region]"", ""number of [segment] companies""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
25,SAM / SOM / Reachability,Analogous adoption-ramp benchmarks,Public benchmarks showing how quickly similar products or categories reached adoption over time.,Supports realistic SOM timing instead of arbitrary capture assumptions.,S1-B (Q6); S4-C (Q24-Q25),"S1-B5, S1-B7, S4-C1, S4-C5","Analyst reports, adoption studies, historical case studies","""adoption curve for [adjacent category]"", ""how fast [category] adoption grew""",High,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
26,SAM / SOM / Reachability,Typical switching timelines from incumbents or status quo,"Public evidence for how long it takes buyers to replace incumbent tools, manual processes, or vendors.",Critical for realistic obtainability and adoption-path modeling.,S1-B (Q6); S4-A (Q19); S6-B (Q31),"S1-B6, S4-A4, S6-B7","Customer case studies, implementation reports, procurement commentary","""switching from [incumbent] timeline"", ""[industry] vendor replacement cycle""",High,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
27,SAM / SOM / Reachability,"Public penetration, attach-rate, or conversion benchmarks","Comparable rates for adoption, seat penetration, attach, or conversion in adjacent categories.",Useful for bounding penetration assumptions in SOM models.,S1-B (Q6-Q7); S4-C (Q24),"S1-B9, S1-B10, S4-C1","Benchmark studies, investor decks, analyst commentary","""[Industry] market penetration rate"", ""percentage of companies using [Tech]""",High,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
28,SAM / SOM / Reachability,Evidence-backed versus speculative markers in public sizing,Signals showing which assumptions are sourced and which are inferred in third-party market estimates.,Helps separate robust inputs from guesswork in the assumption register.,S1-B (Q7); S1-A (Q4),"S1-B12, S1-A15, S1-A16","Methodology notes, analyst appendices, footnotes","""[Industry] TAM assumptions"", ""[Industry] market estimate footnotes""",High,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
29,Segments & Concentration,"Segment taxonomy by industry, company size, region, and use case",The usable segmentation scheme supported by public data sources.,"Underpins all segment ranking, beachhead mapping, and concentration analysis.",S1-C (Q8-Q11),"S1-C1, S1-C3, S1-C7","Analyst taxonomies, directories, public databases, industry reports","""[Industry] segmentation by company size vertical region use case""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
30,Segments & Concentration,Addressable revenue by subsegment,Public estimates of market spend or size for each major subsegment.,Needed to score segment size and focus the beachhead.,S1-C (Q8-Q9),"S1-C1, S1-C5, S1-C6","Segment reports, vertical analyst notes, trade studies","""[Industry] market size by company size"", ""[Industry] enterprise segment value""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
31,Segments & Concentration,Growth rate by subsegment,"Public growth rates for relevant verticals, buyer cohorts, regions, or use cases.",Distinguishes attractive fast-growing pockets from stagnant ones.,S1-C (Q9); S2-B (Q14),"S1-C5, S1-C7, S2-B1","Segment studies, analyst reports, government sector data","""[segment] market growth rate"", ""[industry] growth by vertical""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
32,Segments & Concentration,Demand concentration by top segments,Public evidence showing which segments account for the largest share of overall demand.,Supports ranking matrices and beachhead prioritization.,S1-C (Q8-Q9),"S1-C1, S1-C3, S1-C6","Market studies, industry spend reports, buyer surveys","""[industry] spending by segment"", ""largest [industry] buyer segments""",High,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
33,Segments & Concentration,Primary customer segment descriptors,Real-world attributes that make the leading segment identifiable and list-buildable.,Turns generic segment claims into operational targeting logic.,S1-C (Q8-Q9),"S1-C2, S1-C6","Industry directories, public company profiles, association member lists","""top customer profile for [category]"", ""[segment] firmographic criteria""",High,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
34,Segments & Concentration,Buyer role titles by segment,Public evidence on the common buyer titles or functions in each important segment.,Needed for buyer-user disaggregation and commercial interpretation.,S1-C (Q8); S4-A (Q19-Q20),"S1-C4, S4-A2, S4-A6","Case studies, RFPs, org charts, buying guides","""who buys [Product]"", ""[Industry] decision maker roles""",High,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
35,Segments & Concentration,User role titles by segment,Public evidence on the end-user or operator roles involved in the workflow.,Helps separate user demand from buyer authority and supports adoption analysis.,S1-C (Q8); S6-B (Q31),"S1-C4, S6-B6","Workflow articles, case studies, conference talks, job descriptions","""[workflow] user roles"", ""who uses [product] day to day""",High,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
36,Segments & Concentration,Competitive intensity by subsegment,Public indicators of how crowded each subsegment is and how strong incumbents appear to be there.,Needed for attractiveness scoring and wedge selection.,S1-C (Q9); S6-A (Q29),"S1-C5, S1-C8, S6-A6","Vendor landscape reports, review sites, market maps","""[segment] competitor landscape"", ""best [category] for [segment]""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
37,Segments & Concentration,Fragmentation and consolidation indicators,"Vendor counts, share dispersion, HHI proxies, roll-up patterns, and consolidation signals.",Grounds claims about whether the market is fragmented or concentrated.,S1-C (Q10); S3-B (Q17),"S1-C9, S1-C12, S3-B4","Market maps, M&A databases, analyst reports, filings","""M&A activity in [Industry]"", ""consolidation trends [Industry]""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
38,Segments & Concentration,Competitive layer structure,"Evidence for distinct layers such as enterprise vs SMB, premium vs mass market, or platform vs specialist.",Helps interpret both fragmentation and segment attractiveness.,S1-C (Q10); S6-A (Q29),"S1-C11, S6-A5","Analyst maps, review categories, vendor comparisons","""enterprise vs SMB [category]"", ""platform vs point solution [industry]""",High,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
39,Segments & Concentration,Buyer concentration indicators,Public evidence showing whether demand is concentrated among a small number of large buyers.,Needed to assess concentration risk and long-tail dynamics.,S1-C (Q11),"S1-C13, S1-C16","Procurement studies, industry spend data, public customer references","""buyer concentration [industry]"", ""top customers share of spend [industry]""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
40,Segments & Concentration,Whale-versus-long-tail demand pattern,Whether category spend appears dominated by large accounts or broadly distributed across many smaller buyers.,Changes go-to-market logic and concentration risk interpretation.,S1-C (Q11); S6-A (Q29),"S1-C15, S1-C16, S6-A6","Spend benchmarks, customer counts, analyst commentary","""long tail vs enterprise spend [industry]"", ""whale accounts [industry]""",High,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
41,Trends & Growth Quality,Top structural opportunity trends,The few enduring trends creating new opportunity in the market.,Forms the backbone of the market-growth narrative.,S2-A (Q12),"S2-A1, S2-A4","Analyst reports, industry outlooks, regulator updates, technology trend studies","""drivers of growth in [Industry]"", ""why is [Industry] growing""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
42,Trends & Growth Quality,Top structural threat trends,"The few enduring trends that could compress spend, reduce access, or shift value away from the market.",Prevents one-sided trend analysis and improves downside realism.,S2-A (Q12); S2-B (Q14),"S2-A1, S2-B3","Analyst reports, trade press, investor research, regulator updates","""headwinds for [industry]"", ""risks to [industry] growth""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
43,Trends & Growth Quality,Trend-to-mechanism evidence,"The concrete mechanism through which each major trend changes behavior, spend, or market structure.",Keeps trend analysis market-specific rather than generic macro commentary.,S2-A (Q12-Q13); S5-A (Q27),"S2-A2, S2-A5, S5-A6","Analyst commentary, case studies, implementation writeups","""how [trend] affects [industry] demand"", ""[industry] trend mechanism""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
44,Trends & Growth Quality,Trend persistence versus episodic spike evidence,"Evidence showing whether a trend is structural, seasonal, cyclical, or tied to a temporary shock.",Central to growth-quality analysis.,S2-A (Q12); S2-B (Q14),"S2-A3, S2-B2","Multi-year time series, historical case studies, market data","""is [trend] temporary or structural in [industry]""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
45,Trends & Growth Quality,Trend-ranking and signal-strength indicators,Observable signals that help rank trends by importance and confidence.,Supports prioritization and prevents equal weighting of weak and strong trends.,S2-A (Q12-Q13),"S2-A4, S2-A8","Search trends, venture funding data, deployment counts, policy timelines","""signals of [industry] trend strength"", ""[industry] adoption indicators""",High,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
46,Trends & Growth Quality,Macro drivers affecting market behavior,"Major macro forces such as AI adoption, digitization, sustainability, labor shortages, or regulation that shape the market.",Needed to translate broad external shifts into market behavior.,S2-A (Q13); S5-A (Q26-Q27),"S2-A5, S2-A6, S5-A2","Macro research, policy reports, technology outlooks","""economic outlook for [Industry]"", ""supply chain issues [Industry]""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
47,Trends & Growth Quality,Observable buyer or user behavior changes,"Public evidence that buyers or users are changing workflows, budget priorities, or evaluation behavior.",Connects macro and trend claims to real commercial behavior.,S2-A (Q13); S4-C (Q24-Q25),"S2-A6, S2-A7, S4-C2","Survey data, buyer research, review trends, case studies","""changing buyer behavior in [industry]"", ""[industry] purchasing behavior shift""",High,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
48,Trends & Growth Quality,Structural versus cyclical demand indicators,Evidence separating durable tailwinds from temporary spending conditions.,Required for judging growth quality.,S2-B (Q14),"S2-B1, S2-B2","Multi-year market data, sector benchmarks, macro series","""structural vs cyclical growth [industry]"", ""[industry] recession sensitivity""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
49,Trends & Growth Quality,Named downside scenarios,"Specific scenarios that could slow growth, reduce spending, or delay adoption.",Makes downside analysis substantive rather than perfunctory.,S2-B (Q14); S5-A (Q27); S6-B (Q31),"S2-B3, S2-B4, S5-A8, S6-B4","Market reports, policy analysis, macro research, case studies","""downside scenarios for [industry]"", ""what could slow [industry] growth""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
50,Trends & Growth Quality,Historical slowdown or drawdown analogues,"Prior periods where similar markets slowed, stalled, or reversed, and why.",Grounds downside scenarios in precedent.,S2-B (Q14),"S2-B2, S2-B4","Historical market reports, recession analyses, sector studies","""historical slowdown in [industry]"", ""[industry] drawdown case study""",High,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
51,Value Chain & Whitespace,Stage-by-stage value chain map,"The main stages from upstream inputs through fulfillment, delivery, and ongoing value capture.",Needed to understand where value accrues and where whitespace may exist.,S3-A (Q15-Q16),"S3-A1, S3-A4","Industry primers, analyst maps, regulatory chain diagrams, trade articles","""[industry] value chain"", ""[industry] supply chain map""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
52,Value Chain & Whitespace,Actor roles at each value-chain stage,The participant types present at each stage and their responsibilities.,Supports actor-role-value-flow analysis and whitespace diagnosis.,S3-A (Q15); S6-B (Q30),"S3-A2, S6-B3","Industry maps, standards docs, partner ecosystems, trade bodies","""actors in [industry] value chain"", ""[industry] ecosystem participants""",High,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
53,Value Chain & Whitespace,Economic value flow and profit-pool distribution,"Evidence for where revenue, margin, or bargaining power concentrates across the chain.",Critical for understanding control points and underserved areas.,S3-A (Q15-Q16); S3-B (Q17),"S3-A2, S3-A8, S3-B4","Filings, analyst reports, margin studies, investor decks","""[industry] profit pool by stage"", ""[industry] margins by value chain""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
54,Value Chain & Whitespace,Physical or operational flow structure,"How products, services, data, or work actually move through the chain in practice.",Prevents confusing economic relationships with operational reality.,S3-A (Q15),"S3-A4, S3-A7","Workflow docs, industry guides, operations case studies","""how [product/service] flows through [industry]"", ""[industry] workflow map""",High,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
55,Value Chain & Whitespace,Control points and gatekeepers in the chain,"Where one actor controls access, standards, distribution, or customer relationships.",Key for both value-chain power and ecosystem dependency analysis.,S3-A (Q15); S6-B (Q30),"S3-A3, S6-B2","Platform docs, channel studies, market maps, filings","""gatekeepers in [industry]"", ""who controls access in [industry]""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
56,Value Chain & Whitespace,Underserved stages or workflows,"Stages in the chain where current offerings appear weak, fragmented, or incomplete.",Needed to support whitespace claims with evidence.,S3-A (Q16); S6-A (Q29),"S3-A5, S3-A6, S6-A7","Review sites, analyst gap analyses, trade commentary","""underserved workflows in [industry]"", ""gaps in [industry] solutions""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
57,Value Chain & Whitespace,Workflow friction points by stage,"Observable inefficiencies, delays, manual workarounds, or coordination failures in existing workflows.",Supports friction-based whitespace analysis and adoption-barrier work.,S3-A (Q16); S6-B (Q31),"S3-A7, S6-B7","User forums, case studies, implementation reports, review text","""pain points in [industry] workflow"", ""manual workarounds in [industry]""",High,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
58,Value Chain & Whitespace,Current solution coverage by value-chain stage,Which parts of the chain are already well served and which remain thinly covered.,Separates real whitespace from already-solved areas.,S3-A (Q16); S6-A (Q29),"S3-A6, S3-A8, S6-A7","Vendor comparisons, analyst maps, review sites","""vendor coverage across [industry] workflow"", ""which parts of [industry] are well served""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
59,Value Chain & Whitespace,Profit-pool versus solution-coverage mismatch evidence,"Whether high-value stages are well served, overserved, or underserved relative to their economics.","Strengthens whitespace claims by tying them to value, not just absence of vendors.",S3-A (Q16),"S3-A8, S3-A5","Margin analyses, analyst reports, category maps","""high margin underserved [industry] stage"", ""profit pool mismatch [industry]""",High,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
60,Competition & Channels,Direct competitor list,Named direct competitors currently serving the core market definition.,"Required before any share, saturation, or pricing analysis.",S3-B (Q17); S6-A (Q29),"S3-B2, S3-B3, S6-A5","Analyst landscapes, review sites, vendor directories","""top companies in [Industry]"", ""market leaders [Industry]""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
61,Competition & Channels,Substitute and workaround list,"Named substitute products, adjacent vendors, manual workflows, or outsourcing options buyers use instead.",Prevents understating competitive pressure by only counting direct vendors.,S3-B (Q17); S4-B (Q22-Q23),"S3-B2, S4-B11","Review sites, buyer guides, forums, case studies","""alternatives to [Product]"", ""substitutes for [Industry]""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
62,Competition & Channels,Competitor revenue or market-share estimates,Public share figures or revenue estimates for relevant competitors and substitutes.,Core input to competitive concentration and power analysis.,S3-B (Q17); S1-C (Q10),"S3-B1, S3-B3, S3-B4, S1-C10","Filings, analyst reports, investor decks, press releases","""[Competitor Name] revenue"", ""[Competitor Name] annual recurring revenue""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
63,Competition & Channels,Public inputs supporting share estimates,"The visible assumptions behind share estimates, such as customer counts, pricing, traffic, or segment exposure.",Makes share estimates auditable rather than opaque.,S3-B (Q17); S1-A (Q2),"S3-B3, S1-A8","Filings, pricing pages, public customer counts, web traffic tools","""[Competitor] customers pricing traffic"", ""market share assumptions [industry]""",High,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
64,Competition & Channels,Distribution route mix and channel power,"The relative importance of direct, partner, marketplace, OEM, or distributor-led routes, plus who holds leverage.",Needed to interpret both distribution dominance and market access.,S3-B (Q18); S1-B (Q5); S6-B (Q30),"S3-B5, S3-B7, S1-B2, S6-B2","Channel studies, partner programs, marketplace data, analyst reports","""[industry] distribution route mix"", ""channel power in [industry]""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
